/*********************************************
 * Converted final-case dataset for Satvika1.mod
 * Source: final_cases/n_1000/N1000_C2_I1.dat
 *********************************************/

Nodes = 1000;

E = {
<1,2> , <1,5> , <1,9> , <1,21> ,
<2,1> , <2,3> , <2,5> , <2,6> ,
<2,7> , <3,2> , <3,4> , <3,7> ,
<3,13> , <4,3> , <4,8> , <4,16> ,
<4,17> , <4,250> , <5,1> , <5,2> ,
<5,6> , <5,9> , <6,2> , <6,5> ,
<6,10> , <7,2> , <7,3> , <7,14> ,
<8,4> , <8,12> , <8,15> , <9,1> ,
<9,5> , <9,10> , <9,182> , <9,319> ,
<9,428> , <10,6> , <10,9> , <10,11> ,
<10,13> , <11,10> , <11,14> , <11,15> ,
<11,16> , <11,270> , <12,8> , <12,18> ,
<12,24> , <13,3> , <13,10> , <13,14> ,
<13,92> , <14,7> , <14,11> , <14,13> ,
<14,15> , <14,16> , <15,8> , <15,11> ,
<15,14> , <15,17> , <15,18> , <15,24> ,
<15,202> , <15,231> , <16,4> , <16,11> ,
<16,14> , <16,17> , <16,90> , <17,4> ,
<17,15> , <17,16> , <17,18> , <18,12> ,
<18,15> , <18,17> , <18,24> , <19,24> ,
<19,28> , <20,22> , <20,26> , <20,28> ,
<20,32> , <20,128> , <20,295> , <21,1> ,
<21,23> , <21,63> , <21,145> , <22,20> ,
<22,26> , <22,28> , <22,30> , <22,294> ,
<23,21> , <23,35> , <23,63> , <23,102> ,
<24,12> , <24,15> , <24,18> , <24,19> ,
<25,31> , <25,36> , <25,69> , <25,72> ,
<25,102> , <25,416> , <26,20> , <26,22> ,
<26,30> , <26,32> , <26,33> , <26,57> ,
<26,276> , <27,33> , <27,34> , <27,45> ,
<27,52> , <27,61> , <28,19> , <28,20> ,
<28,22> , <29,49> , <29,53> , <29,54> ,
<29,89> , <29,306> , <29,448> , <30,22> ,
<30,26> , <30,32> , <30,33> , <30,34> ,
<31,25> , <31,37> , <31,72> , <31,75> ,
<31,102> , <31,374> , <32,20> , <32,26> ,
<32,30> , <32,33> , <32,45> , <32,124> ,
<33,26> , <33,27> , <33,30> , <33,32> ,
<33,45> , <34,27> , <34,30> , <34,54> ,
<35,23> , <35,46> , <35,102> , <36,25> ,
<36,46> , <36,86> , <36,91> , <36,102> ,
<36,416> , <37,31> , <37,55> , <37,75> ,
<37,77> , <37,102> , <38,39> , <38,44> ,
<38,55> , <38,56> , <38,101> , <38,245> ,
<39,38> , <39,44> , <39,56> , <39,66> ,
<39,69> , <39,82> , <40,41> , <40,56> ,
<40,66> , <40,78> , <40,241> , <41,40> ,
<41,42> , <41,62> , <41,101> , <41,267> ,
<41,303> , <42,41> , <42,43> , <42,47> ,
<42,65> , <42,80> , <42,273> , <42,300> ,
<42,315> , <43,42> , <43,47> , <43,70> ,
<43,80> , <43,283> , <43,294> , <44,38> ,
<44,39> , <44,55> , <44,56> , <44,68> ,
<44,77> , <44,81> , <44,82> , <44,125> ,
<45,27> , <45,32> , <45,33> , <46,35> ,
<46,36> , <46,58> , <46,84> , <46,102> ,
<47,42> , <47,43> , <47,48> , <47,64> ,
<47,80> , <47,85> , <47,255> , <48,47> ,
<48,50> , <48,60> , <48,64> , <48,65> ,
<48,276> , <48,359> , <49,29> , <49,67> ,
<49,85> , <49,89> , <49,98> , <49,121> ,
<50,48> , <50,51> , <50,60> , <50,61> ,
<50,88> , <51,50> , <51,52> , <51,60> ,
<51,61> , <51,71> , <52,27> , <52,51> ,
<52,57> , <52,61> , <52,92> , <53,29> ,
<53,54> , <53,89> , <53,428> , <54,29> ,
<54,34> , <54,53> , <54,95> , <55,37> ,
<55,38> , <55,44> , <55,59> , <55,78> ,
<55,116> , <56,38> , <56,39> , <56,40> ,
<56,44> , <56,59> , <56,66> , <56,69> ,
<56,367> , <57,26> , <57,52> , <57,76> ,
<57,79> , <57,96> , <58,46> , <58,75> ,
<58,84> , <59,55> , <59,56> , <59,62> ,
<59,82> , <59,116> , <59,374> , <60,48> ,
<60,50> , <60,51> , <60,61> , <60,80> ,
