from_node,to_node,walk_distance_m,walk_distance_km,walk_time_hr,feasible
1013323718,2296395497,409.9148,0.4099,0.082,1
1013323719,2296395497,492.7623,0.4928,0.0986,1
10136635288,2296395497,2194.6483,2.1946,0.4389,0
12751376331,2296395497,999.4603,0.9995,0.1999,1
12751376389,2296395497,788.8801,0.7889,0.1578,1
12751376390,2296395497,761.8935,0.7619,0.1524,1
12751376391,2296395497,872.9196,0.8729,0.1746,1
12751665809,2296395497,899.3143,0.8993,0.1799,1
12969191289,2296395497,414.1779,0.4142,0.0828,1
13252209958,2296395497,444.2783,0.4443,0.0889,1
1514895831,2296395497,1684.4753,1.6845,0.3369,0
1588087948,2296395497,1572.453,1.5725,0.3145,0
1588088092,2296395497,1893.9138,1.8939,0.3788,0
1592136089,2296395497,1386.9741,1.387,0.2774,0
1594214788,2296395497,2058.3677,2.0584,0.4117,0
1772228771,2296395497,746.8308,0.7468,0.1494,1
2027440548,2296395497,1565.8265,1.5658,0.3132,0
2144935899,2296395497,991.8409,0.9918,0.1984,1
2144936033,2296395497,1162.8047,1.1628,0.2326,0
292190541,2296395497,65.5138,0.0655,0.0131,1
292190553,2296395497,266.2621,0.2663,0.0533,1
292190555,2296395497,451.6214,0.4516,0.0903,1
298584896,2296395497,1791.1516,1.7912,0.3582,0
298584936,2296395497,1757.2018,1.7572,0.3514,0
298584984,2296395497,1603.1733,1.6032,0.3206,0
298585000,2296395497,1664.8652,1.6649,0.333,0
306013433,2296395497,324.8036,0.3248,0.065,1
306013441,2296395497,196.4998,0.1965,0.0393,1
306013442,2296395497,806.3131,0.8063,0.1613,1
335820891,2296395497,893.3656,0.8934,0.1787,1
335820892,2296395497,851.1909,0.8512,0.1702,1
335820953,2296395497,969.5727,0.9696,0.1939,1
387526911,2296395497,408.0025,0.408,0.0816,1
411929172,2296395497,1875.4459,1.8754,0.3751,0
416185950,2296395497,526.5118,0.5265,0.1053,1
416186645,2296395497,1683.6815,1.6837,0.3367,0
416191302,2296395497,2014.4301,2.0144,0.4029,0
416196556,2296395497,1177.8829,1.1779,0.2356,0
416208085,2296395497,1610.2789,1.6103,0.3221,0
416208856,2296395497,2136.8279,2.1368,0.4274,0
416211832,2296395497,555.5238,0.5555,0.1111,1
416224607,2296395497,1775.9755,1.776,0.3552,0
416225216,2296395497,690.4394,0.6904,0.1381,1
416232528,2296395497,2110.4445,2.1104,0.4221,0
416245143,2296395497,2118.0809,2.1181,0.4236,0
416250744,2296395497,1236.6804,1.2367,0.2473,0
416256692,2296395497,1754.6793,1.7547,0.3509,0
416257424,2296395497,771.7851,0.7718,0.1544,1
416264089,2296395497,1739.4112,1.7394,0.3479,0
416269655,2296395497,1807.7282,1.8077,0.3615,0
416281449,2296395497,1139.267,1.1393,0.2279,0
416286375,2296395497,1707.9651,1.708,0.3416,0
416287016,2296395497,1684.1756,1.6842,0.3368,0
416287733,2296395497,1644.8855,1.6449,0.329,0
416288983,2296395497,1726.2706,1.7263,0.3453,0
416289811,2296395497,2256.7088,2.2567,0.4513,0
416294844,2296395497,729.4854,0.7295,0.1459,1
416303252,2296395497,1021.2317,1.0212,0.2042,0
416304448,2296395497,1500.3725,1.5004,0.3001,0
418988931,2296395497,2217.9528,2.218,0.4436,0
418988932,2296395497,2117.9014,2.1179,0.4236,0
418988934,2296395497,1964.7101,1.9647,0.3929,0
418988937,2296395497,1855.2506,1.8553,0.3711,0
418988939,2296395497,2101.7594,2.1018,0.4204,0
418988940,2296395497,2177.6002,2.1776,0.4355,0
418988942,2296395497,2033.7298,2.0337,0.4067,0
418988943,2296395497,1952.9394,1.9529,0.3906,0
418988944,2296395497,1926.3549,1.9264,0.3853,0
418988945,2296395497,1903.6016,1.9036,0.3807,0
421146123,2296395497,1553.3105,1.5533,0.3107,0
421146126,2296395497,1599.1588,1.5992,0.3198,0
421146128,2296395497,1701.5613,1.7016,0.3403,0
442755843,2296395497,1419.6382,1.4196,0.2839,0
442755846,2296395497,1594.228,1.5942,0.3188,0
442755847,2296395497,1535.105,1.5351,0.307,0
442760425,2296395497,777.9964,0.778,0.1556,1
442760426,2296395497,721.8722,0.7219,0.1444,1
442760427,2296395497,578.2703,0.5783,0.1157,1
442760431,2296395497,435.4253,0.4354,0.0871,1
442760432,2296395497,415.1924,0.4152,0.083,1
442760433,2296395497,215.4717,0.2155,0.0431,1
442760434,2296395497,235.1979,0.2352,0.047,1
442760435,2296395497,418.0085,0.418,0.0836,1
442760443,2296395497,460.1713,0.4602,0.092,1
442760444,2296395497,388.9735,0.389,0.0778,1
442760458,2296395497,1357.5228,1.3575,0.2715,0
444672672,2296395497,484.6928,0.4847,0.0969,1
545312693,2296395497,1956.7004,1.9567,0.3913,0
6835825381,2296395497,2004.1464,2.0041,0.4008,0
8905697073,2296395497,1170.7033,1.1707,0.2341,0
